Bermuda Dash,3.48,555,"10,000 - 50,000",Free(in app),Arcade,no,everyone
Rope Rescue Free,4.14,18881,"1,000,000 - 5,000,000",Free(in app),Puzzle,yes,unrated
VR Combat Flight Demo,3.22,139,"10,000 - 50,000",Free  ,Simulation,no,not everyone
Gangster Vegas,4.36,2799372,"10,000,000 - 50,000,000",Free(in app),Action,yes,not everyone
Kings of Parking 3D,3.72,5468,"100,000 - 500,000",Free(in app),Racing,yes,everyone
Sushi the Fish,3.5,11,100 - 500,Free ,Action,yes,not everyone
Way Out VR,3.93,154,"10,000 - 50,000",Free(in app),Puzzle,no,everyone
Standpoint,5,2,Oct-50,$4.99 ,Puzzle,no,not everyone
Hardwood Hearts (Free) ,4.34,783,"10,000 - 50,000",Free(in app),Card,yes,everyone
Find Teddy VR,3.75,4,"500 - 1,000",Free ,Casual,no,everyone
Flyhunter Origins,4.2,214,"1,000 - 5,000",$2.92 ,Adventure,yes,not everyone
Epic War TD 2,4.34,19597,"100,000 - 500,000",$0.99 ,Strategy,yes,not everyone
Gun Bros Multiplayer,4.4,202687,"10,000,000 - 50,000,000",Free(in app),Action,yes,not everyone
Avoid,3.5,167,"10,000 - 50,000",Free  ,Arcade,no,everyone
Dead Rider,3.59,8825,"1,000,000 - 5,000,000",Free,Racing,yes,not everyone
Grand Prix Story Lite,3.79,6534,"500,000 - 1,000,000",Free,Sports Game,yes,everyone
Rochard,4.64,218,"1,000 - 5,000",$6.99 ,Action,no,not everyone
Cowboy with a Gatling Gun Demo,3.25,8,100 - 500,Free,Arcade,no,not everyone
CLARC lite,4.07,5098,"100,000 - 500,000",Free(in app) ,Adventure,yes,not everyone
M.A.R.S Extraction VR,3.83,48,"1,000 - 5,000",Free,Action,no,everyone
Fae for Google Cardboard,3.25,8,100 - 500,Free,Adventure,no,everyone
Gem Miner,4.08,47908,"5,000,000 - 10,000,000",Free,Adventure,no,everyone
Colorful Box,3.4,5,"1,000 - 5,000",Free,Casual,no,unrated
Death Maze,3.36,45,"5,000 - 10,000",Free,Role Playing,no,everyone
Super Androix,4.25,34187,"1,000,000 - 5,000,000",Free(in app),Arcade,no,everyone
SpaceShipDefense,2,4,100 - 500,Free,Arcade,no,unrated
INDY 500 Arcade Racing,3.99,1480,"10,000 - 50,000",$4.49 ,Racing,no,everyone
Cup! Cup! Golf 3D!,3.89,2692,"500,000 - 1,000,000",Free(in app),Sports Game,no,unrated
Planktons - Endless Survival,4.23,158,"10,000 - 50,000",Free(in app),Arcade,yes,everyone
Hoverboard Drive,3.56,112,"10,000 - 50,000",Free,Action,no,everyone
Dink SmallWood HD,4.46,326,"5,000 - 10,000",$2.99 ,Arcade,yes,not everyone
Meltdown,3.95,10500,"100,000 - 500,000",Free(in app),Action,yes,everyone
S Racer VR,3.5,4,"100,000 - 500,000",$1.11 ,Action,no,everyone
Ground Effect Pro XHD,4.05,167,"5,000 - 10,000",$5.99 ,Racing,no,everyone
Gravity Robot - Panic Run,3.88,48,"1,000 - 5,000",Free,Arcade,no,unrated
Blobby Volleyball,4.56,132,"5,000 - 10,000",Free,Arcade,no,everyone
Blood & Glory,4.53,766030,"10,000,000 - 50,000,000",Free(in app),Action,yes,not everyone
Rayman Fiesta Run,4.37,31628,"100,000 - 500,000",$2.99(in app),Action,yes,everyone
Stupid Zombies 2,4.11,205661,"10,000,000 - 50,000,000",Free(in app),Casual,yes,not everyone
Crusade of Destiny,4,1219,"10,000 - 50,000",$4.99 ,Role Playing,yes,everyone
